"ID","pres","route","lat","long","off","doy","sun","Agriculture","Water","Grassland","Shrubland","Wetland","Taiga","Wet","Deciduous","Coniferous","Mixedwood","Tree","Temperature","Precipitation","Elevation","Height","doy.st","sun.st","Agriculture.st","Water.st","Grassland.st","Shrubland.st","Wetland.st","Taiga.st","Wet.st","Deciduous.st","Coniferous.st","Mixedwood.st","Tree.st","Temperature.st","Precipitation.st","Elevation.st","Height.st"
"cns-1",0,418,53.103297,-111.760129,0.0276847502604524,170,-0.390120758083132,0.970521569252014,0,0,0,0,0,0,0,0,0,0,260.148590087891,0.0000106828156276606,688.709228515625,4.4824481010437,-1.50516192546031,-1.37536440587394,0.663837588362275,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.804814068264132,-0.466297150924868,-0.621941567400846,-0.0347385333762154
"cns-2",0,418,53.118628,-111.760134,0.0355508674885495,170,-0.124959699842666,0.954410672187805,0.000646510103251785,0,0.0234238654375076,0,0,0,0,0,0,0,260.132202148438,0.0000106832721940009,693.046569824219,3.15163469314575,-1.50516192546031,-0.992955640672544,0.606996693544955,-0.341861907943086,-0.589547977987015,0.904185041649633,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.815543845337341,-0.466108284028247,-0.602711521394797,-0.393874988566279
"cns-3",0,372,53.337695,-112.782088,0.0280129937333547,177,-0.378964122533798,0.982144832611084,0,0,0.00907029490917921,0,0,0,0.00878484733402729,0,0,0.00878484733402729,260.394989013672,0.000011097819879069,728.650024414062,6.44379329681396,-0.816545709435646,-1.35927458011848,0.70484565187319,-0.355336905936286,-0.589547977987015,0.203559939779122,-0.197037260446511,NA,-0.197037260446511,-0.296199657612074,-0.103430984755887,-0.157351101226468,-0.305857512677782,-0.643487773871043,-0.294623161558786,-0.44485996648478,0.494554722036348
"cns-4",0,372,53.337674,-112.806078,0.0334149734234113,177,-0.197227963076699,0.850038051605225,0,0,0.00907029490917921,0,0,0,0.140891656279564,0,0,0.140891656279564,260.406341552734,0.0000111146973722498,728.705810546875,2.80434393882751,-0.816545709435646,-1.0971791548264,0.238759398954943,-0.355336905936286,-0.589547977987015,0.203559939779122,-0.197037260446511,NA,-0.197037260446511,0.502914219132453,-0.103430984755887,-0.157351101226468,0.461676910507143,-0.636054855675077,-0.287641482274745,-0.444612632963122,-0.487595693276596
"cns-5",0,372,53.337786,-112.830432,0.0382346175599304,177,-0.0321959051820961,0.578169167041779,0.00490281451493502,0,0,0,0,0,0.416927993297577,0,0,0.416927993297577,260.417694091797,0.0000111315748654306,739.289306640625,10.5799789428711,-0.816545709435646,-0.859173974514861,-0.720421868853103,-0.253149151379178,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,2.17265758177596,-0.103430984755887,-0.157351101226468,2.06543520580096,-0.628621937479111,-0.280659802990704,-0.397689621305172,1.61075556741203
"cns-6",0,372,53.337802,-112.854771,0.0427165344923292,177,0.132846658428509,0.335705310106277,0.0226757377386093,0,0,0,0,0,0.641618967056274,0,0,0.641618967056274,260.429046630859,0.0000111484523586114,739.757263183594,14.0007162094116,-0.816545709435646,-0.621153643117753,-1.57585918771534,0.117286056930399,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,3.531812923904,-0.103430984755887,-0.157351101226468,3.37087932571639,-0.621189019283145,-0.273678123706663,-0.395614888142649,2.53388382021673
"cns-7",0,372,53.337845,-112.879458,0.0466086179300243,177,0.297863349649642,0.216154336929321,0.0337107852101326,0,0,0,0,0,0.744642376899719,0,0.00549251306802034,0.750134885311127,260.440399169922,0.0000111653289422975,751.11865234375,14.6809930801392,-0.816545709435646,-0.383170624245253,-1.99764726472788,0.347285931310923,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,4.15500136583644,-0.103430984755887,0.384649918379188,4.00135176986163,-0.613756101087179,-0.2666968206515,-0.34524300806728,2.71746494620401
"cns-8",0,372,53.337862,-112.903404,0.0494140725404781,177,0.446265346275435,0.221260368824005,0.034013606607914,0,0,0,0,0,0.735655725002289,0,0.00907029490917921,0.744726002216339,260.449859619141,0.0000111793933683657,755.413208007812,15.6790008544922,-0.816545709435646,-0.169148909821314,-1.97963266127638,0.353597538363742,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,4.10064112283284,-0.103430984755887,0.73770531976281,3.96992641034103,-0.607562002590541,-0.260878817286279,-0.326202656589329,2.98678968564995
"cns-9",0,372,53.35227,-112.903576,0.0515863705737603,177,0.611493204434712,0.123552098870277,0.0196223575621843,0,0,0,0,0,0.84730064868927,0,0.00952490139752626,0.856825590133667,260.435638427734,0.0000111772005766397,762.932312011719,16.7874431610107,-0.816545709435646,0.0691386488226094,-2.32435744432774,0.0536454555803817,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,4.77598108826288,-0.103430984755887,0.78256587396669,4.6212198087522,-0.61687313129839,-0.261785905110487,-0.292865940469503,3.28591654925328
"cns-10",0,372,53.366867,-112.902803,0.0526249278751126,177,0.776763964361614,0.0444746799767017,0,0,0,0,0,0,0.946455001831055,0,0.00907029490917921,0.95552533864975,260.421417236328,0.0000111750077849138,785.192626953125,14.6200313568115,-0.816545709435646,0.307488079342031,-2.60335067678655,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,5.37576561237392,-0.103430984755887,0.73770531976281,5.19466076270803,-0.62618426000624,-0.262692992934695,-0.194172558976966,2.70101367130084
